Age,Phnom Penh,Phnom_Penh_pop,Urban_pop_exclude_pp,Urban (exclude PP),Rural,Rural_pop
 0 - 4 years,0.1028857,173676,0.047033086,68582,0.091,1049264
 5 - 9 years,0.07740242,130659,0.089480271,130477,0.103,1187629
 10 - 14 yrs,0.07995685,134971,0.08652313,126165,0.11,1268342
 15 - 19 yrs,0.092099869,155469,0.090805224,132409,0.109,1256811
 20 - 24 yrs,0.117529241,198395,0.114229871,166566,0.109,1256811
 25 - 29 yrs,0.111546591,188296,0.083396598,121606,0.084,968552
 30 - 34 yrs,0.114329095,192993,0.07801792,113763,0.078,899369
 35 - 39 yrs,0.053519805,90344,0.055634993,81125,0.047,541928
 40 - 44 yrs,0.065958432,111341,0.06928434,101028,0.0525,605345
 45 - 49 yrs,0.052069609,87896,0.059471322,86719,0.0515,593814
 50 - 54 yrs,0.050124759,84613,0.052013318,75844,0.046,530397
 55 - 59 yrs,0.042199037,71234,0.037454609,54615,0.033,380502
 60 - 64 yrs,0.03075031,51908,0.031289326,45625,0.028,322851
 65 - 69 yrs,0.018655868,31492,0.023713366,34578,0.021,242138
 70 - 74 yrs,0.012856862,21703,0.019638381,28636,0.017,196016
 75+,0.013032805,22000,0.021592892,31486,0.02,230608
